ANNEE,C_REGION,L_REGION,C_DEPT,N_DEPT,C_TYP_REG_DECHET,L_TYP_REG_DECHET,TONNAGE_T
2009,84,Auvergne-Rhône-Alpes,01,Ain,02A,Déchets dangereux,"1358,45"
2009,84,Auvergne-Rhône-Alpes,01,Ain,02B,Matériaux recyclables,"25404,84"
2009,84,Auvergne-Rhône-Alpes,01,Ain,02C,Déchets verts,"45013,01"
2009,84,Auvergne-Rhône-Alpes,01,Ain,02D,Encombrants,"34728,89"
2009,84,Auvergne-Rhône-Alpes,01,Ain,02F,DEEE,"3366,15"
2009,84,Auvergne-Rhône-Alpes,01,Ain,02E,Déblais et gravats,"37592,71"
2009,84,Auvergne-Rhône-Alpes,01,Ain,02Z,Autres déchets,"79,26"
2009,84,Auvergne-Rhône-Alpes,03,Allier,02A,Déchets dangereux,"362,06"
2009,84,Auvergne-Rhône-Alpes,03,Allier,02B,Matériaux recyclables,"8564,32"
2009,84,Auvergne-Rhône-Alpes,03,Allier,02C,Déchets verts,"18611,59"
2009,84,Auvergne-Rhône-Alpes,03,Allier,02D,Encombrants,"11932,29"
2009,84,Auvergne-Rhône-Alpes,03,Allier,02F,DEEE,"1504,50"
2009,84,Auvergne-Rhône-Alpes,03,Allier,02E,Déblais et gravats,"14373,56"
2009,84,Auvergne-Rhône-Alpes,03,Allier,02Z,Autres déchets,"0,35"
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,02A,Déchets dangereux,"378,72"
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,02B,Matériaux recyclables,"11385,83"
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,02C,Déchets verts,"10029,94"
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,02D,Encombrants,"16215,27"
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,02F,DEEE,"809,15"
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,02E,Déblais et gravats,"14248,80"
2009,84,Auvergne-Rhône-Alpes,07,Ardèche,02Z,Autres déchets,"34,49"
2009,84,Auvergne-Rhône-Alpes,15,Cantal,02A,Déchets dangereux,"64,18"
2009,84,Auvergne-Rhône-Alpes,15,Cantal,02B,Matériaux recyclables,"3807,24"
2009,84,Auvergne-Rhône-Alpes,15,Cantal,02C,Déchets verts,"5598,42"
2009,84,Auvergne-Rhône-Alpes,15,Cantal,02D,Encombrants,"4333,54"
2009,84,Auvergne-Rhône-Alpes,15,Cantal,02F,DEEE,"214,28"
2009,84,Auvergne-Rhône-Alpes,15,Cantal,02E,Déblais et gravats,"2840,00"
2009,84,Auvergne-Rhône-Alpes,15,Cantal,02Z,Autres déchets,"4,67"
2009,84,Auvergne-Rhône-Alpes,26,Drôme,02A,Déchets dangereux,"446,43"
2009,84,Auvergne-Rhône-Alpes,26,Drôme,02B,Matériaux recyclables,"17532,44"
2009,84,Auvergne-Rhône-Alpes,26,Drôme,02C,Déchets verts,"27244,89"
2009,84,Auvergne-Rhône-Alpes,26,Drôme,02D,Encombrants,"27593,15"
2009,84,Auvergne-Rhône-Alpes,26,Drôme,02F,DEEE,"2481,02"
2009,84,Auvergne-Rhône-Alpes,26,Drôme,02E,Déblais et gravats,"33089,00"
2009,84,Auvergne-Rhône-Alpes,26,Drôme,02Z,Autres déchets,"3,20"
2009,84,Auvergne-Rhône-Alpes,38,Isère,02A,Déchets dangereux,"2153,45"
2009,84,Auvergne-Rhône-Alpes,38,Isère,02B,Matériaux recyclables,"52964,48"
2009,84,Auvergne-Rhône-Alpes,38,Isère,02C,Déchets verts,"105168,06"
2009,84,Auvergne-Rhône-Alpes,38,Isère,02D,Encombrants,"84489,77"
2009,84,Auvergne-Rhône-Alpes,38,Isère,02F,DEEE,"5924,01"
2009,84,Auvergne-Rhône-Alpes,38,Isère,02E,Déblais et gravats,"118985,95"
2009,84,Auvergne-Rhône-Alpes,38,Isère,02Z,Autres déchets,"4100,45"
2009,84,Auvergne-Rhône-Alpes,42,Loire,02A,Déchets dangereux,"1077,92"
2009,84,Auvergne-Rhône-Alpes,42,Loire,02B,Matériaux recyclables,"20502,48"
2009,84,Auvergne-Rhône-Alpes,42,Loire,02C,Déchets verts,"40496,46"
2009,84,Auvergne-Rhône-Alpes,42,Loire,02D,Encombrants,"34645,98"
